ID,NR,TraceSampleCode,Region,RegionNo,LabNo,Date_ElementalBulk,Li_Bulk,B_Bulk,Na_Bulk,Mg_Bulk,Al_Bulk,K_Bulk,Ca_Bulk,V_Bulk,Mn_Bulk,Co_Bulk,Ni_Bulk,Cu_Bulk,Zn_Bulk,Ga_Bulk,Se_Bulk,Rb_Bulk,Sr_Bulk,Mo_Bulk,Cd_Bulk,Cs_Bulk,Ba_Bulk,La_Bulk,Ce_Bulk,Nd_Bulk,Sm_Bulk,Eu_Bulk,Yb_Bulk,Lu_Bulk,Tl_Bulk,Pb_Bulk,U_Bulk
1.1000000000000000e+01,7.0000000000000000e+00,"1BUKCor08050002","COR",5.0000000000000000e+00,5.0000000000000000e+00,"04/28/09 00:00:00",7.4004479485117208e-02,5.4317151399213803e-01,2.5897763318756502e+03,8.6242711602014504e+02,6.5807866042773604e+00,1.5311040682977500e+04,2.0962906812332398e+02,-1.1785501241249755e-02,6.0153749042283500e-01,9.1322727700369616e-03,1.0188819583912000e-02,3.8975161730091998e+00,2.7986352011085899e+02,1.6951917425338199e-02,3.4945784623621001e-01,3.5289799274633204e+01,2.0143079188237900e-01,3.9398429326534395e-02,3.0265109803358898e-03,2.1122801693645901e-01,2.1156423426272601e+00,9.6003180697545997e-03,3.1531753309313300e-02,3.8095828210623697e-03,1.3144820500770500e-03,5.4314401642645900e-04,3.7459703417150195e-04,6.3411742709041898e-05,6.3695996236460097e-04,1.6773002902840500e-01,7.2606315598218994e-04
1.2000000000000000e+01,8.0000000000000000e+00,"1BUKCor08050003","COR",5.0000000000000000e+00,5.0000000000000000e+00,"04/28/09 00:00:00",-1.7662854140611025e-02,4.6894552094733499e-01,2.2647326723444403e+03,9.2231462070337295e+02,1.7154798360945398e+00,1.7013171778134300e+04,2.6075232531306199e+02,-1.1785501241249755e-02,3.4717624118714902e-01,9.1941464637932905e-03,7.5651444270116198e-03,2.8079374758553297e+00,2.2151371877528598e+02,1.9070551031266699e-02,3.2653831672525901e-01,3.4320523725171299e+01,1.8174465757109901e-01,2.9986712772040101e-02,-2.2798991457957697e-03,2.4521988531609301e-01,2.9899417397861600e-01,3.9036410383544600e-03,7.6046803564254204e-03,1.8369441823716400e-03,-3.4542845134702182e-04,-3.4287593966331333e-04,-2.0231072635923280e-04,-3.5272758610576189e-05,5.4827863874066401e-04,3.4795691128317000e-02,1.3928861950720400e-04
1.3000000000000000e+01,9.0000000000000000e+00,"1BUKCor08050004","COR",5.0000000000000000e+00,5.0000000000000000e+00,"04/28/09 00:00:00",-1.7662854140611025e-02,6.8562091265779002e-01,2.8497860912623701e+03,1.0543328341012600e+03,2.5474307621126200e+00,2.0437653457300599e+04,1.2258055137384499e+03,1.2249249745582001e-02,2.5050091637771799e-01,1.2278990529228000e-02,2.4315986848809101e-02,2.9335077593610399e+00,3.5326215541314599e+02,2.4968387838670499e-02,3.3576033546272704e-01,2.2874135996546897e+01,1.1068252572418902e+00,4.5251033423073100e-02,4.5517988299660205e-03,6.1382708251184998e-02,6.4244459436460299e-01,2.9763441197991100e-03,7.6978005790571602e-03,1.7506438848797401e-03,4.9082162314848302e-04,-3.4287593966331333e-04,-2.0231072635923280e-04,-3.5272758610576189e-05,6.6090782626835893e-04,3.2910554493327901e-02,4.5540473002226602e-04
1.4000000000000000e+01,1.0000000000000000e+01,"1BUKCor08050005","COR",5.0000000000000000e+00,5.0000000000000000e+00,"04/28/09 00:00:00",-1.7662854140611025e-02,4.2798065996829598e-01,2.7246129860612300e+03,9.2774929487980705e+02,8.5513254616009604e-01,1.7600318492135098e+04,2.4823015161716600e+02,-1.1785501241249755e-02,3.2438262909243004e-01,1.4467094635889599e-02,8.7718019152173508e-03,2.9852659544480398e+00,2.8003849408368200e+02,1.9527115374538599e-02,4.0326484926111700e-01,1.3088308763484399e+01,1.4666003049612700e-01,3.7037936701201798e-02,-2.2798991457957697e-03,4.8175564608890602e-02,7.1652454473821611e-02,6.4678456738468803e-04,1.1354185502138500e-03,-7.7233565727603890e-04,-3.4542845134702182e-04,-3.4287593966331333e-04,-2.0231072635923280e-04,-3.5272758610576189e-05,3.1792119769121304e-04,2.5532217968074499e-03,1.3331911471617801e-04
1.5000000000000000e+01,1.1000000000000000e+01,"1BUKCor08090001","COR",5.0000000000000000e+00,5.0000000000000000e+00,"04/28/09 00:00:00",-1.7662854140611025e-02,8.2357959515456303e-01,3.2706571979824598e+03,1.0711446283507400e+03,2.0577750380928199e+00,2.1498574105356602e+04,3.9106162352819001e+02,1.3628687799981300e-02,3.9921176800239000e-01,2.4897247647607399e-02,1.1144522424081199e-01,4.6664398696480802e+00,2.9966180255294000e+02,2.3356157129720199e-02,8.3096548151554706e-01,2.0612975717705499e+01,3.3215875264642603e-01,5.4621324327641406e-02,3.2088499536501998e-03,8.7577643883789608e-02,4.5549313488106297e-01,2.7405211656271800e-03,8.1657742777459796e-03,1.4174189431559101e-03,5.3806899503695002e-04,-3.4287593966331333e-04,-2.0231072635923280e-04,-3.5272758610576189e-05,9.7405077859324994e-04,3.6671730795717603e-02,1.4889907991130500e-04
1.6000000000000000e+01,1.2000000000000000e+01,"1BUKCor08090002","COR",5.0000000000000000e+00,5.0000000000000000e+00,"04/28/09 00:00:00",-1.7662854140611025e-02,-3.7725651095320495e-01,2.8320591352720198e+03,9.9031423709220599e+02,1.1432800756481099e+00,1.8453781310029801e+04,2.9183811199784100e+02,-1.1785501241249755e-02,4.6845015215696600e-01,7.5309369975128703e-03,3.0192028030452097e-03,3.4009448185170399e+00,2.8753656022687403e+02,1.9687750515827902e-02,6.2517014289770900e-01,1.2550251946929100e+01,2.2282572076139900e-01,4.0139435885939302e-02,3.2868236168886299e-03,2.4647685170460999e-02,2.6135604888758796e-01,1.4154735824896101e-03,3.7804631181231701e-03,-7.7233565727603890e-04,-3.4542845134702182e-04,-3.4287593966331333e-04,-2.0231072635923280e-04,-3.5272758610576189e-05,4.1793244856656902e-04,2.0605353409924303e-02,-9.1153143802060022e-05
1.7000000000000000e+01,1.3000000000000000e+01,"1BUKCor08090003","COR",5.0000000000000000e+00,5.0000000000000000e+00,"04/28/09 00:00:00",3.7097294160077197e-02,-3.7725651095320495e-01,2.2482816774798198e+03,9.3074343463834202e+02,8.3937907760822306e-01,1.7927169024206400e+04,2.3953042297144100e+02,-1.1785501241249755e-02,3.6063392936948996e-01,6.2473531162679395e-03,7.0345567858988503e-03,3.4667162623523300e+00,2.0892308088330401e+02,1.8367971276358100e-02,5.2280061559786395e-01,1.7874941431836600e+01,1.9022861011266501e-01,4.4480553749079499e-02,-2.2798991457957697e-03,5.1041542694268104e-02,2.1202401618340899e-01,1.4286616858286102e-03,3.4408298382903701e-03,-7.7233565727603890e-04,-3.4542845134702182e-04,-3.4287593966331333e-04,-2.0231072635923280e-04,-3.5272758610576189e-05,8.1383277421318901e-04,1.6590001678457700e-02,1.4431085705563301e-04
1.8000000000000000e+01,1.4000000000000000e+01,"1BUKCor08090004","COR",5.0000000000000000e+00,5.0000000000000000e+00,"04/28/09 00:00:00",-1.7662854140611025e-02,-3.7725651095320495e-01,2.7326684726565900e+03,9.6215918326405404e+02,2.5729681330917900e+00,1.8779663233902200e+04,1.9128484916465300e+02,-1.1785501241249755e-02,5.3285582643811602e-01,1.6748989835106202e-02,6.8654547153838494e-03,3.6490215850021102e+00,3.1689331386780401e+02,1.8826428213686398e-02,4.3255944331803603e-01,1.9807352358486099e+01,1.3828395933703400e-01,4.7433403104241496e-02,-2.2798991457957697e-03,8.6591403993566504e-02,8.1709046754217390e-02,1.3611943163555299e-03,1.9779985784623899e-03,-7.7233565727603890e-04,-3.4542845134702182e-04,-3.4287593966331333e-04,-2.0231072635923280e-04,-3.5272758610576189e-05,6.3296865171397502e-04,9.7064742821322096e-03,1.1671622516076500e-04
1.9000000000000000e+01,1.5000000000000000e+01,"1BUKCor08100001","COR",5.0000000000000000e+00,5.0000000000000000e+00,"04/28/09 00:00:00",-1.7662854140611025e-02,-3.7725651095320495e-01,3.3787269911537196e+03,9.6135183458426309e+02,1.1303685052257400e+00,1.9483989434590600e+04,3.4610645886641396e+02,-1.1785501241249755e-02,3.4769480605663899e-01,1.3679025434203200e-02,8.4418586239601700e-03,3.2778179991087399e+00,3.3153082591353001e+02,2.0229350981890000e-02,4.8608299952832695e-01,2.2192037713892400e+01,3.4397415175760604e-01,4.8952793833332398e-02,3.4738247241566096e-03,6.7631021608867303e-02,1.2944928890229901e-01,7.0732795568245201e-04,9.4860727911758307e-04,-7.7233565727603890e-04,-3.4542845134702182e-04,-3.4287593966331333e-04,-2.0231072635923280e-04,-3.5272758610576189e-05,1.4592510139968900e-03,1.1891508052540899e-02,-9.1153143802060022e-05
2.0000000000000000e+01,1.6000000000000000e+01,"1BUKCor08110001","COR",5.0000000000000000e+00,5.0000000000000000e+00,"04/28/09 00:00:00",2.0209296172701299e-01,1.3925162500999400e+00,2.3636215829246703e+03,7.2769077316407800e+02,8.3637971568331704e+00,1.3578169199097101e+04,3.5279678299587698e+02,1.2973815661964901e-02,3.8235457562709901e-01,3.3933567708694400e-03,9.3798912824197105e-03,2.7303865759728603e+00,1.9414840271778002e+02,1.7118972621227298e-02,2.7077876014446600e-01,4.5066138466908903e+01,4.5465021055403004e-01,4.7919014729322695e-02,6.4469575923978804e-03,2.8837739390563499e-01,3.8914314030196100e+00,1.7724900882601400e-02,4.4645372440310097e-02,7.8437358628425397e-03,1.4308554608670201e-03,9.3895527566254205e-04,2.3091482486148403e-04,-3.5272758610576189e-05,3.0748885928560100e-03,3.5470536062978802e-01,7.2750440310806095e-04
2.1000000000000000e+01,1.7000000000000000e+01,"1BUKCor08110002","COR",5.0000000000000000e+00,5.0000000000000000e+00,"04/28/09 00:00:00",-1.7662854140611025e-02,4.6063592635447098e-01,3.1269159306758202e+03,1.0233423522755601e+03,3.8999825605972900e+00,2.1674473649983702e+04,2.5147274102290999e+02,-1.1785501241249755e-02,2.3574810236165000e-01,1.0748500881651600e-02,1.8388513339167599e-02,2.8952715940640599e+00,2.8944469345305203e+02,2.2503759479924602e-02,5.9344470740962907e-01,1.0970882481819501e+01,2.7574570407907401e-01,4.9857612713185298e-02,4.5804050951261397e-03,2.8950615923821900e-02,8.2134073372151312e-02,2.0709014776571898e-03,3.4298730982351201e-03,1.6151447389880899e-03,4.6144378177142800e-04,-3.4287593966331333e-04,-2.0231072635923280e-04,-3.5272758610576189e-05,1.0127917314271800e-03,1.3326136860113101e-02,-9.1153143802060022e-05
2.2000000000000000e+01,1.8000000000000000e+01,"1BUKCor08110003","COR",5.0000000000000000e+00,5.0000000000000000e+00,"04/28/09 00:00:00",1.8433451600838500e-02,-3.7725651095320495e-01,2.4987281887173403e+03,8.7484022582726800e+02,2.5053927837745800e+00,1.6278747855724399e+04,1.7002905602744400e+02,1.6348728703244303e-02,4.4874080679124201e-01,2.6411882544808900e-02,7.6961550930931599e-02,3.4631978807050401e+00,2.6720294478562704e+02,1.8318647877692901e-02,3.8340465857043499e-01,1.9416337562744300e+01,9.3424245332562300e-02,2.8474657042393398e-02,3.4726527668013101e-03,6.4274328113385903e-02,5.6852636002455097e-02,1.5005659909860501e-03,4.2365652574616304e-03,-7.7233565727603890e-04,3.9242750243555100e-04,-3.4287593966331333e-04,-2.0231072635923280e-04,-3.5272758610576189e-05,4.7001716541834198e-04,1.4518632404734801e-02,-9.1153143802060022e-05
2.3000000000000000e+01,1.9000000000000000e+01,"1BUKCor08110004","COR",5.0000000000000000e+00,5.0000000000000000e+00,"04/28/09 00:00:00",3.3021968899899300e-02,-3.7725651095320495e-01,4.4201986042887902e+03,8.4799270274192099e+02,6.8749573269699793e-01,1.6794971993313498e+04,3.5932623620128601e+02,-1.1785501241249755e-02,5.5663938979877503e-01,9.9167084261901003e-03,7.4465487999043197e-03,3.4404768243702000e+00,3.0111494688698798e+02,1.8608051312811298e-02,-1.1339287772838734e-01,1.5659345076649101e+01,3.6841263988268402e-01,5.2563698596893096e-02,3.1360334290910499e-03,2.2145837794724201e-02,8.5300545239978501e-02,3.7921622172192699e-04,1.9709547455431398e-03,-7.7233565727603890e-04,-3.4542845134702182e-04,-3.4287593966331333e-04,-2.0231072635923280e-04,-3.5272758610576189e-05,3.4435783691357105e-04,8.2363154865397799e-03,-9.1153143802060022e-05
2.4000000000000000e+01,2.0000000000000000e+01,"1BUKCor08120001","COR",5.0000000000000000e+00,5.0000000000000000e+00,"04/28/09 00:00:00",2.1492529973331797e-02,-3.7725651095320495e-01,2.7993017277206200e+03,8.2657971977310103e+02,3.5031054054744599e+00,1.6343525667896301e+04,5.7006351010536491e+02,-1.1785501241249755e-02,4.3326950322980001e-01,7.4952930739569301e-03,2.9308416658850402e-02,3.2281576150262401e+00,2.7852303855427198e+02,1.8272747519865601e-02,4.0446941195988001e-01,1.3106958299114799e+01,3.8897889904059002e-01,4.2526341029081302e-02,2.9369776613269601e-03,1.9718636616446600e-02,1.8430731621541499e-01,2.7344627354439800e-03,6.2277672561923602e-03,1.4642992649941101e-03,-3.4542845134702182e-04,-3.4287593966331333e-04,-2.0231072635923280e-04,-3.5272758610576189e-05,4.5106361142221101e-04,3.1576269620178198e-02,9.4992362226701502e-05
2.5000000000000000e+01,1.0000000000000000e+00,"1BDeFra0600001","FRA",6.0000000000000000e+00,5.0000000000000000e+00,"05/20/09 00:00:00",-6.2515655772774018e-03,1.4549656738318101e+01,1.8405723056682700e+03,3.9453418329468496e+02,4.7212806342245504e+00,9.3473494944753002e+03,2.0663730665028800e+02,1.7608818309040899e-02,1.2501270467040299e-01,5.7251507667931698e-03,1.6154989783151000e-02,1.3755986469065400e+00,1.5914314685059000e+02,8.1700728523679909e-03,-2.6941977411123380e-01,5.3803268907493003e+00,6.7742423792644405e-02,4.0933208445966603e-02,-7.3588693846694236e-03,1.0302898514377200e-02,2.8297918074655599e-02,-4.2265263130613728e-04,-6.0710616493328605e-04,-7.4188653900060422e-04,-3.4837099728594000e-04,-2.5690513180938983e-04,-2.7323579789258949e-04,-1.0689972871808412e-04,1.0923516601273899e-03,1.6707203106482301e-03,-2.4774432031834720e-04
2.6000000000000000e+01,2.0000000000000000e+00,"1BDeFra0600002","FRA",6.0000000000000000e+00,5.0000000000000000e+00,"05/20/09 00:00:00",2.5740448024408200e-02,3.8031161670546798e-01,2.2914346267595997e+03,7.4300145154815198e+02,4.0803050462104906e+00,1.5422258030270399e+04,2.1960961012970600e+02,-1.7092771926445992e-02,3.5651466474102600e-01,5.0103761172130097e-03,1.9771552112582500e-02,2.4448417274242100e+00,2.4600063206262499e+02,1.2721830541065999e-02,3.7943575840105098e-01,6.1985188064667902e+00,9.6366490444234801e-02,2.1631022484890898e-02,-7.3588693846694236e-03,1.6031558924551798e-02,4.9115151046812695e-02,2.0251399393564798e-03,2.7322538698282203e-03,1.8783447898405199e-03,-3.4837099728594000e-04,-2.5690513180938983e-04,-2.7323579789258949e-04,-1.0689972871808412e-04,4.4399437430273107e-03,1.2269206934571500e-02,-2.4774432031834720e-04
2.7000000000000000e+01,3.0000000000000000e+00,"1BDeFra0600003","FRA",6.0000000000000000e+00,5.0000000000000000e+00,"05/20/09 00:00:00",1.6741349251734400e-02,2.2387432142702499e-01,3.7692428081799098e+03,5.8653698962963801e+02,1.2523410256891401e+00,1.1340004773139701e+04,5.3022627315031502e+02,-1.7092771926445992e-02,3.2072867738722000e-01,1.2477876515060200e-02,2.4400298836295298e-02,2.2248556594664701e+00,1.9678318710133502e+02,1.0280363807743401e-02,4.8785138145869600e-01,6.4601419024677602e+00,2.9284736545324103e-01,3.1551555797564801e-02,-7.3588693846694236e-03,5.4699700444828699e-03,1.2788799296417200e-01,3.6776796904503398e-03,7.9132729520549790e-03,3.2758264609175402e-03,-3.4837099728594000e-04,3.2775153041633600e-04,-2.7323579789258949e-04,-1.0689972871808412e-04,3.5095111197449902e-04,1.3530435201049001e-02,-2.4774432031834720e-04
2.8000000000000000e+01,4.0000000000000000e+00,"1BDeFra0600004","FRA",6.0000000000000000e+00,5.0000000000000000e+00,"04/29/09 00:00:00",-3.0225938756234270e-02,-1.1622973935445971e-01,2.0612456135549401e+03,4.5569395178408797e+02,1.1740068985680700e-01,9.4148851043567101e+03,1.3378389943125600e+02,1.2371469794076001e-02,1.1670088228796201e-01,8.3178075700241702e-03,-6.3156372319525290e-03,1.1166500081734900e+00,1.1192979452904100e+02,1.0321128531378600e-02,-6.7843897829212718e-01,6.1874303159415502e+00,2.8950121121038203e-02,2.8262396667464197e-02,-2.8073172657583595e-03,3.7933138827061300e-03,1.6644203141923400e-02,-5.3541376581575390e-04,7.2488404778648199e-04,-3.7776376298554604e-04,-4.3190710806838863e-05,-2.3041039608706908e-04,-2.1851461621594099e-04,-2.7600372280097964e-04,8.1754552738970995e-04,2.5994162414693898e-03,-1.1184069306383970e-04
2.9000000000000000e+01,5.0000000000000000e+00,"1BDeFra06120005","FRA",6.0000000000000000e+00,5.0000000000000000e+00,"05/20/09 00:00:00",4.4263966005377499e-02,3.1689979595838297e-01,3.3132248181706900e+03,8.4963089700419300e+02,3.4990120757090498e-01,1.8155158386898998e+04,2.3386073103591400e+02,-1.7092771926445992e-02,3.3790272093461199e-01,1.1838213925544499e-02,1.4638674872150600e-01,2.7436971146184601e+00,2.7839510591782198e+02,1.3518252655947600e-02,5.1177779635612197e-01,1.6932194879035201e+00,1.0112657237392600e-01,6.5646969796446797e-02,-7.3588693846694236e-03,2.0358259835840096e-03,2.2830801833817201e-02,-4.2265263130613728e-04,-6.0710616493328605e-04,-7.4188653900060422e-04,-3.4837099728594000e-04,-2.5690513180938983e-04,-2.7323579789258949e-04,-1.0689972871808412e-04,2.1186994969075302e-03,8.9764133541671304e-03,-2.4774432031834720e-04
