ID,NR,TraceSampleCode,Region,RegionNo,d15N,LabNo
8.0000000000000000e+01,1.0000000000000000e+00,"1BIeIre08100001","IRE",1.0000000000000000e+01,4.6699999999999999e+00,
8.1000000000000000e+01,2.0000000000000000e+00,"1BIeIre08100002","IRE",1.0000000000000000e+01,7.4400000000000004e+00,
8.2000000000000000e+01,3.0000000000000000e+00,"1BIeIre08100003","IRE",1.0000000000000000e+01,6.8900000000000006e+00,
8.3000000000000000e+01,4.0000000000000000e+00,"1BIeIre08100004","IRE",1.0000000000000000e+01,6.5400000000000000e+00,
8.4000000000000000e+01,5.0000000000000000e+00,"1BIeIre08100005","IRE",1.0000000000000000e+01,7.7000000000000002e+00,
8.5000000000000000e+01,6.0000000000000000e+00,"1BIeIre08100006","IRE",1.0000000000000000e+01,6.5099999999999998e+00,
8.6000000000000000e+01,7.0000000000000000e+00,"1BIeIre08100007","IRE",1.0000000000000000e+01,5.1900000000000004e+00,
8.7000000000000000e+01,8.0000000000000000e+00,"1BIeIre08100008","IRE",1.0000000000000000e+01,6.4900000000000002e+00,
8.8000000000000000e+01,1.0000000000000000e+00,"1BFrLim07070001","LIM",1.3000000000000000e+01,6.3900000000000006e+00,
8.9000000000000000e+01,2.0000000000000000e+00,"1BFrLim07070002","LIM",1.3000000000000000e+01,6.4199999999999999e+00,
9.0000000000000000e+01,3.0000000000000000e+00,"1BFrLim07070003","LIM",1.3000000000000000e+01,6.4500000000000002e+00,
9.1000000000000000e+01,4.0000000000000000e+00,"1BFrLim07070004","LIM",1.3000000000000000e+01,6.2400000000000002e+00,
9.2000000000000000e+01,5.0000000000000000e+00,"1BFrLim07070005","LIM",1.3000000000000000e+01,6.3600000000000003e+00,
9.3000000000000000e+01,6.0000000000000000e+00,"1BFrLim07070006","LIM",1.3000000000000000e+01,4.7400000000000002e+00,
9.4000000000000000e+01,7.0000000000000000e+00,"1BFrLim07070007","LIM",1.3000000000000000e+01,4.7699999999999996e+00,
9.5000000000000000e+01,8.0000000000000000e+00,"1BFrLim07070008","LIM",1.3000000000000000e+01,4.8600000000000003e+00,
9.6000000000000000e+01,9.0000000000000000e+00,"1BFrLim07070009","LIM",1.3000000000000000e+01,4.7900000000000000e+00,
9.7000000000000000e+01,1.0000000000000000e+01,"1BFrLim07070010","LIM",1.3000000000000000e+01,4.7900000000000000e+00,
9.8000000000000000e+01,1.1000000000000000e+01,"1BFrLim07070011","LIM",1.3000000000000000e+01,5.2700000000000005e+00,
9.9000000000000000e+01,1.2000000000000000e+01,"1BFrLim07070012","LIM",1.3000000000000000e+01,5.2900000000000000e+00,
1.0000000000000000e+02,1.3000000000000000e+01,"1BFrLim07070013","LIM",1.3000000000000000e+01,5.3200000000000003e+00,
1.0100000000000000e+02,1.4000000000000000e+01,"1BFrLim07070014","LIM",1.3000000000000000e+01,5.2999999999999998e+00,
1.0200000000000000e+02,1.5000000000000000e+01,"1BFrLim07070015","LIM",1.3000000000000000e+01,5.4000000000000004e+00,
1.0300000000000000e+02,1.6000000000000000e+01,"1BFrLim07070016","LIM",1.3000000000000000e+01,5.8500000000000005e+00,
1.0400000000000000e+02,1.7000000000000000e+01,"1BFrLim07070017","LIM",1.3000000000000000e+01,5.9199999999999999e+00,
1.0500000000000000e+02,1.8000000000000000e+01,"1BFrLim07070018","LIM",1.3000000000000000e+01,5.6500000000000004e+00,
1.0600000000000000e+02,1.9000000000000000e+01,"1BFrLim07070019","LIM",1.3000000000000000e+01,5.6200000000000001e+00,
1.0700000000000000e+02,2.0000000000000000e+01,"1BFrLim07070020","LIM",1.3000000000000000e+01,5.6299999999999999e+00,
1.0800000000000000e+02,1.0000000000000000e+00,"1BAuMue09030001","MUE",1.5000000000000000e+01,4.9299999999999997e+00,
1.0900000000000000e+02,2.0000000000000000e+00,"1BAuMue09030001","MUE",1.5000000000000000e+01,4.9600000000000000e+00,
1.1000000000000000e+02,3.0000000000000000e+00,"1BAuMue09030001","MUE",1.5000000000000000e+01,4.1799999999999997e+00,
1.1100000000000000e+02,4.0000000000000000e+00,"1BAuMue09030001","MUE",1.5000000000000000e+01,4.9000000000000004e+00,
1.1200000000000000e+02,1.0000000000000000e+00,"1BDeNor08060001","NOR",1.6000000000000000e+01,5.2999999999999998e+00,
1.1300000000000000e+02,2.0000000000000000e+00,"1BDeNor08060002","NOR",1.6000000000000000e+01,6.6000000000000005e+00,
1.1400000000000000e+02,3.0000000000000000e+00,"1BDeNor08060003","NOR",1.6000000000000000e+01,6.7000000000000002e+00,
1.1500000000000000e+02,4.0000000000000000e+00,"1BDeNor08060004","NOR",1.6000000000000000e+01,6.9000000000000004e+00,
1.1600000000000000e+02,5.0000000000000000e+00,"1BDeNor08060005","NOR",1.6000000000000000e+01,5.0000000000000000e+00,
1.1700000000000000e+02,6.0000000000000000e+00,"1BDeNor08060006","NOR",1.6000000000000000e+01,7.7000000000000002e+00,
1.1800000000000000e+02,7.0000000000000000e+00,"1BDeNor08060007","NOR",1.6000000000000000e+01,5.2999999999999998e+00,
1.1900000000000000e+02,8.0000000000000000e+00,"1BDeNor08060008","NOR",1.6000000000000000e+01,6.4000000000000004e+00,
1.2000000000000000e+02,9.0000000000000000e+00,"1BDeNor08090009","NOR",1.6000000000000000e+01,7.0000000000000000e+00,
1.2100000000000000e+02,1.0000000000000000e+01,"1BDeNor08090010","NOR",1.6000000000000000e+01,7.5000000000000000e+00,
1.2200000000000000e+02,1.1000000000000000e+01,"1BDeNor08090011","NOR",1.6000000000000000e+01,6.2999999999999998e+00,
1.2300000000000000e+02,1.2000000000000000e+01,"1BDeNor08100012","NOR",1.6000000000000000e+01,4.2000000000000002e+00,
1.2400000000000000e+02,1.3000000000000000e+01,"1BDeNor08110013","NOR",1.6000000000000000e+01,7.7000000000000002e+00,
1.2500000000000000e+02,1.4000000000000000e+01,"1BDeNor08110014","NOR",1.6000000000000000e+01,6.5000000000000000e+00,
1.2600000000000000e+02,1.5000000000000000e+01,"1BDeNor08110015","NOR",1.6000000000000000e+01,6.4000000000000004e+00,
1.2700000000000000e+02,1.6000000000000000e+01,"1BDeNor08120016","NOR",1.6000000000000000e+01,5.7999999999999998e+00,
1.2800000000000000e+02,1.7000000000000000e+01,"1BDeNor08120017","NOR",1.6000000000000000e+01,4.4000000000000004e+00,
1.2900000000000000e+02,1.8000000000000000e+01,"1BDeNor08120018","NOR",1.6000000000000000e+01,5.2999999999999998e+00,
1.3000000000000000e+02,1.9000000000000000e+01,"1BDeNor08120019","NOR",1.6000000000000000e+01,4.4000000000000004e+00,
1.3100000000000000e+02,2.0000000000000000e+01,"1BDeNor08120020","NOR",1.6000000000000000e+01,3.8999999999999999e+00,
1.3200000000000000e+02,1.0000000000000000e+00,"1BUKOrk08030001","ORK",1.7000000000000000e+01,7.0200000000000005e+00,
1.3300000000000000e+02,2.0000000000000000e+00,"1BUKOrk08030002","ORK",1.7000000000000000e+01,8.1099999999999994e+00,
1.3400000000000000e+02,3.0000000000000000e+00,"1BUKOrk08030003","ORK",1.7000000000000000e+01,7.9699999999999998e+00,
1.3500000000000000e+02,4.0000000000000000e+00,"1BUKOrk08030004","ORK",1.7000000000000000e+01,6.7300000000000004e+00,
1.3600000000000000e+02,5.0000000000000000e+00,"1BUKOrk08030005","ORK",1.7000000000000000e+01,8.0800000000000001e+00,
1.3700000000000000e+02,6.0000000000000000e+00,"1BUKOrk08030006","ORK",1.7000000000000000e+01,8.1199999999999992e+00,
1.3800000000000000e+02,7.0000000000000000e+00,"1BUKOrk08030007","ORK",1.7000000000000000e+01,7.5700000000000003e+00,
1.3900000000000000e+02,8.0000000000000000e+00,"1BUKOrk08030008","ORK",1.7000000000000000e+01,8.1199999999999992e+00,
1.4000000000000000e+02,9.0000000000000000e+00,"1BUKOrk08030009","ORK",1.7000000000000000e+01,7.7900000000000000e+00,
1.4100000000000000e+02,1.0000000000000000e+01,"1BUKOrk08030010","ORK",1.7000000000000000e+01,9.4100000000000001e+00,
1.4200000000000000e+02,1.1000000000000000e+01,"1BUKOrk08030011","ORK",1.7000000000000000e+01,9.1999999999999993e+00,
1.4300000000000000e+02,1.2000000000000000e+01,"1BUKOrk08030012","ORK",1.7000000000000000e+01,7.3700000000000001e+00,
1.4400000000000000e+02,1.3000000000000000e+01,"1BUKOrk08030013","ORK",1.7000000000000000e+01,8.2200000000000006e+00,
1.4500000000000000e+02,1.4000000000000000e+01,"1BUKOrk08030014","ORK",1.7000000000000000e+01,7.6400000000000006e+00,
1.4600000000000000e+02,1.5000000000000000e+01,"1BUKOrk08030015","ORK",1.7000000000000000e+01,7.5499999999999998e+00,
1.4700000000000000e+02,1.6000000000000000e+01,"1BUKOrk08030016","ORK",1.7000000000000000e+01,7.6000000000000005e+00,
1.4800000000000000e+02,1.7000000000000000e+01,"1BUKOrk08030017","ORK",1.7000000000000000e+01,8.0899999999999999e+00,
1.4900000000000000e+02,1.8000000000000000e+01,"1BUKOrk08030018","ORK",1.7000000000000000e+01,8.3900000000000006e+00,
1.5000000000000000e+02,1.9000000000000000e+01,"1BUKOrk08030019","ORK",1.7000000000000000e+01,7.6299999999999999e+00,
1.5100000000000000e+02,2.0000000000000000e+01,"1BUKOrk08030020","ORK",1.7000000000000000e+01,8.6699999999999999e+00,
1.5200000000000000e+02,2.1000000000000000e+01,"1BUKOrk08100001","ORK",1.7000000000000000e+01,8.1699999999999999e+00,
1.5300000000000000e+02,2.2000000000000000e+01,"1BUKOrk08100002","ORK",1.7000000000000000e+01,7.9100000000000001e+00,
1.5400000000000000e+02,2.3000000000000000e+01,"1BUKOrk08100003","ORK",1.7000000000000000e+01,7.1900000000000004e+00,
1.5500000000000000e+02,1.0000000000000000e+00,"1BItSic06090001","SIC",1.9000000000000000e+01,3.8700000000000001e+00,
1.5600000000000000e+02,2.0000000000000000e+00,"1BItSic06090002","SIC",1.9000000000000000e+01,3.8999999999999999e+00,
1.5700000000000000e+02,3.0000000000000000e+00,"1BItSic06090003","SIC",1.9000000000000000e+01,5.0300000000000002e+00,
1.5800000000000000e+02,4.0000000000000000e+00,"1BItSic06090004","SIC",1.9000000000000000e+01,3.6499999999999999e+00,
1.5900000000000000e+02,5.0000000000000000e+00,"1BItSic06090005","SIC",1.9000000000000000e+01,4.1200000000000001e+00,
1.6000000000000000e+02,6.0000000000000000e+00,"1BItSic06090006","SIC",1.9000000000000000e+01,4.2699999999999996e+00,
1.6100000000000000e+02,7.0000000000000000e+00,"1BItSic06090007","SIC",1.9000000000000000e+01,4.2300000000000004e+00,
1.6200000000000000e+02,8.0000000000000000e+00,"1BItSic06090008","SIC",1.9000000000000000e+01,3.8500000000000001e+00,
1.6300000000000000e+02,9.0000000000000000e+00,"1BItSic06090009","SIC",1.9000000000000000e+01,4.5300000000000002e+00,
1.6400000000000000e+02,1.0000000000000000e+01,"1BItSic06090010","SIC",1.9000000000000000e+01,5.4400000000000004e+00,
1.6500000000000000e+02,1.1000000000000000e+01,"1BItSic08040001","SIC",1.9000000000000000e+01,4.9199999999999999e+00,
1.6600000000000000e+02,1.2000000000000000e+01,"1BItSic08040002","SIC",1.9000000000000000e+01,4.2300000000000004e+00,
1.6700000000000000e+02,1.3000000000000000e+01,"1BItSic08040003","SIC",1.9000000000000000e+01,4.3600000000000003e+00,
1.6800000000000000e+02,1.4000000000000000e+01,"1BItSic08040004","SIC",1.9000000000000000e+01,4.7300000000000004e+00,
1.6900000000000000e+02,1.5000000000000000e+01,"1BItSic08040005","SIC",1.9000000000000000e+01,3.7400000000000002e+00,
1.7000000000000000e+02,1.6000000000000000e+01,"1BItSic08040006","SIC",1.9000000000000000e+01,3.5700000000000003e+00,
1.7100000000000000e+02,1.7000000000000000e+01,"1BItSic08040007","SIC",1.9000000000000000e+01,4.4900000000000002e+00,
1.7200000000000000e+02,1.8000000000000000e+01,"1BItSic08040008","SIC",1.9000000000000000e+01,5.0599999999999996e+00,
1.7300000000000000e+02,1.9000000000000000e+01,"1BItSic08040009","SIC",1.9000000000000000e+01,3.9900000000000002e+00,
1.7400000000000000e+02,2.0000000000000000e+01,"1BItSic08040010","SIC",1.9000000000000000e+01,5.7999999999999998e+00,
1.7500000000000000e+02,1.0000000000000000e+00,"1BItTos07080001","TOS",2.0000000000000000e+01,5.1500000000000004e+00,
1.7600000000000000e+02,2.0000000000000000e+00,"1BItTos07080002","TOS",2.0000000000000000e+01,4.8300000000000001e+00,
1.7700000000000000e+02,3.0000000000000000e+00,"1BItTos07080003","TOS",2.0000000000000000e+01,4.4500000000000002e+00,
1.7800000000000000e+02,4.0000000000000000e+00,"1BItTos07080004","TOS",2.0000000000000000e+01,5.2700000000000005e+00,
1.7900000000000000e+02,5.0000000000000000e+00,"1BItTos07080005","TOS",2.0000000000000000e+01,4.4400000000000004e+00,
1.8000000000000000e+02,6.0000000000000000e+00,"1BItTos07080006","TOS",2.0000000000000000e+01,4.2300000000000004e+00,
1.8100000000000000e+02,7.0000000000000000e+00,"1BItTos07080007","TOS",2.0000000000000000e+01,5.4600000000000000e+00,
1.8200000000000000e+02,8.0000000000000000e+00,"1BItTos07080008","TOS",2.0000000000000000e+01,5.3799999999999999e+00,
1.8300000000000000e+02,9.0000000000000000e+00,"1BItTos07080009","TOS",2.0000000000000000e+01,5.3600000000000003e+00,
1.8400000000000000e+02,1.0000000000000000e+01,"1BItTos07080010","TOS",2.0000000000000000e+01,5.2199999999999998e+00,
1.8500000000000000e+02,1.1000000000000000e+01,"1BItTos07100001","TOS",2.0000000000000000e+01,4.9199999999999999e+00,
1.8600000000000000e+02,1.2000000000000000e+01,"1BItTos07100002","TOS",2.0000000000000000e+01,5.4100000000000001e+00,
1.8700000000000000e+02,1.3000000000000000e+01,"1BItTos07100003","TOS",2.0000000000000000e+01,4.9800000000000004e+00,
1.8800000000000000e+02,1.4000000000000000e+01,"1BItTos07100004","TOS",2.0000000000000000e+01,5.0400000000000000e+00,
