ID,NR,TraceSampleCode,Region,RegionNo,d2H,LabNo
3.6000000000000000e+01,1.7000000000000000e+01,"1BUKCor0811003","COR",5.0000000000000000e+00,-9.0879999999999995e+01,
3.7000000000000000e+01,1.8000000000000000e+01,"1BUKCor0811004","COR",5.0000000000000000e+00,-8.7579999999999998e+01,
3.8000000000000000e+01,1.9000000000000000e+01,"1BUKCor0812001","COR",5.0000000000000000e+00,-9.0250000000000000e+01,
3.9000000000000000e+01,1.0000000000000000e+00,"1BDeFra06090001","FRA",6.0000000000000000e+00,-1.0800000000000000e+02,
4.0000000000000000e+01,2.0000000000000000e+00,"1BDeFra06090002","FRA",6.0000000000000000e+00,-1.0200000000000000e+02,
4.1000000000000000e+01,3.0000000000000000e+00,"1BDeFra06090003","FRA",6.0000000000000000e+00,-1.0200000000000000e+02,
4.2000000000000000e+01,4.0000000000000000e+00,"1BDeFra06090004","FRA",6.0000000000000000e+00,-1.0000000000000000e+02,
4.3000000000000000e+01,5.0000000000000000e+00,"1BDeFra06090005","FRA",6.0000000000000000e+00,-1.0700000000000000e+02,
4.4000000000000000e+01,6.0000000000000000e+00,"1BDeFra06090006","FRA",6.0000000000000000e+00,-1.1400000000000000e+02,
4.5000000000000000e+01,7.0000000000000000e+00,"1BDeFra06090007","FRA",6.0000000000000000e+00,-1.1000000000000000e+02,
4.6000000000000000e+01,8.0000000000000000e+00,"1BDeFra06090008","FRA",6.0000000000000000e+00,-1.1100000000000000e+02,
4.7000000000000000e+01,9.0000000000000000e+00,"1BDeFra06090009","FRA",6.0000000000000000e+00,-1.1300000000000000e+02,
4.8000000000000000e+01,1.0000000000000000e+01,"1BDeFra06090010","FRA",6.0000000000000000e+00,-1.0400000000000000e+02,
4.9000000000000000e+01,1.1000000000000000e+01,"1BDeFra06090011","FRA",6.0000000000000000e+00,-1.1100000000000000e+02,
5.0000000000000000e+01,1.2000000000000000e+01,"1BDeFra06090012","FRA",6.0000000000000000e+00,-1.0800000000000000e+02,
5.1000000000000000e+01,1.3000000000000000e+01,"1BDeFra06090013","FRA",6.0000000000000000e+00,-1.1000000000000000e+02,
5.2000000000000000e+01,1.4000000000000000e+01,"1BDeFra06090014","FRA",6.0000000000000000e+00,-1.0700000000000000e+02,
5.3000000000000000e+01,1.5000000000000000e+01,"1BDeFra06090015","FRA",6.0000000000000000e+00,-1.1400000000000000e+02,
5.4000000000000000e+01,1.6000000000000000e+01,"1BDeFra06090016","FRA",6.0000000000000000e+00,-1.1400000000000000e+02,
5.5000000000000000e+01,1.7000000000000000e+01,"1BDeFra06090017","FRA",6.0000000000000000e+00,-1.0200000000000000e+02,
5.6000000000000000e+01,1.8000000000000000e+01,"1BDeFra06090018","FRA",6.0000000000000000e+00,-1.1200000000000000e+02,
5.7000000000000000e+01,1.9000000000000000e+01,"1BDeFra06090019","FRA",6.0000000000000000e+00,-1.1500000000000000e+02,
5.8000000000000000e+01,2.0000000000000000e+01,"1BDeFra06090020","FRA",6.0000000000000000e+00,-1.1100000000000000e+02,
5.9000000000000000e+01,1.0000000000000000e+00,"1BDeGau08090001","GAU",8.0000000000000000e+00,-1.0400000000000000e+02,
6.0000000000000000e+01,2.0000000000000000e+00,"1BDeGau08090002","GAU",8.0000000000000000e+00,-1.0600000000000000e+02,
6.1000000000000000e+01,3.0000000000000000e+00,"1BDeGau08090003","GAU",8.0000000000000000e+00,-1.0500000000000000e+02,
6.2000000000000000e+01,4.0000000000000000e+00,"1BDeGau08100004","GAU",8.0000000000000000e+00,-1.0300000000000000e+02,
6.3000000000000000e+01,5.0000000000000000e+00,"1BDeGau08100005","GAU",8.0000000000000000e+00,-1.0400000000000000e+02,
6.4000000000000000e+01,6.0000000000000000e+00,"1BDeGau08100006","GAU",8.0000000000000000e+00,-1.0800000000000000e+02,
6.5000000000000000e+01,7.0000000000000000e+00,"1BDeGau08100007","GAU",8.0000000000000000e+00,-1.0200000000000000e+02,
6.6000000000000000e+01,8.0000000000000000e+00,"1BDeGau08100008","GAU",8.0000000000000000e+00,-1.1200000000000000e+02,
6.7000000000000000e+01,9.0000000000000000e+00,"1BDeGau08100009","GAU",8.0000000000000000e+00,-1.0700000000000000e+02,
6.8000000000000000e+01,1.0000000000000000e+01,"1BDeGau08100010","GAU",8.0000000000000000e+00,-1.1600000000000000e+02,
6.9000000000000000e+01,1.1000000000000000e+01,"1BDeGau08100011","GAU",8.0000000000000000e+00,-1.0500000000000000e+02,
7.0000000000000000e+01,1.2000000000000000e+01,"1BDeGau08100012","GAU",8.0000000000000000e+00,-1.0300000000000000e+02,
7.1000000000000000e+01,1.3000000000000000e+01,"1BDeGau08100013","GAU",8.0000000000000000e+00,-1.1000000000000000e+02,
7.2000000000000000e+01,1.4000000000000000e+01,"1BDeGau08110014","GAU",8.0000000000000000e+00,-1.0900000000000000e+02,
7.3000000000000000e+01,1.5000000000000000e+01,"1BDeGau08110015","GAU",8.0000000000000000e+00,-1.0700000000000000e+02,
7.4000000000000000e+01,1.6000000000000000e+01,"1BDeGau08110016","GAU",8.0000000000000000e+00,-1.1400000000000000e+02,
7.5000000000000000e+01,1.7000000000000000e+01,"1BDeGau08120017","GAU",8.0000000000000000e+00,-1.0700000000000000e+02,
7.6000000000000000e+01,1.8000000000000000e+01,"1BDeGau08120018","GAU",8.0000000000000000e+00,-1.0700000000000000e+02,
7.7000000000000000e+01,1.9000000000000000e+01,"1BDeGau08120019","GAU",8.0000000000000000e+00,-1.0500000000000000e+02,
7.8000000000000000e+01,2.0000000000000000e+01,"1BDeGau08120020","GAU",8.0000000000000000e+00,-1.0700000000000000e+02,
7.9000000000000000e+01,1.0000000000000000e+00,"1BIeIre08100001","IRE",1.0000000000000000e+01,-1.0300000000000000e+02,
8.0000000000000000e+01,2.0000000000000000e+00,"1BIeIre08100002","IRE",1.0000000000000000e+01,-1.0100000000000000e+02,
8.1000000000000000e+01,3.0000000000000000e+00,"1BIeIre08100003","IRE",1.0000000000000000e+01,-1.0400000000000000e+02,
8.2000000000000000e+01,4.0000000000000000e+00,"1BIeIre08100004","IRE",1.0000000000000000e+01,-1.0200000000000000e+02,
8.3000000000000000e+01,5.0000000000000000e+00,"1BIeIre08100005","IRE",1.0000000000000000e+01,-1.0500000000000000e+02,
8.4000000000000000e+01,6.0000000000000000e+00,"1BIeIre08100006","IRE",1.0000000000000000e+01,-1.0500000000000000e+02,
