Sample type,Harvest year,Lab code,Short code,Origin,Country,18O,13C,15N,34S,Na,Mg,Al,P,S,K,Ca,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Mo,Cd,Cs,Ba,Hg,Pb
Strawberry,2018,JAG-18-31,S-18-31,Authentic SLO,Slovenia,-0.584469672,-25.96262169,1.976085395,1.70053706,20.16461858,1.584454967,41.42114214,1.751241957,0.668020373,12.27638986,0.960094841,12.64334277,25.76451883,9.323892204,9.209242347,22.7056644,NaN,1.507821781,8.40518998,34.78800933,2.51321278,3.880010136,1.182970357,1031.184262,424.9563491,10.45681591,5.532796633,0.49,520
Strawberry,2018,JAG-18-32,S-18-32,Authentic SLO,Slovenia,0.11032207,-25.6824887,2.723704805,4.728902696,18.50060541,1.381922427,65.7691215,1.772601319,0.658578526,13.77240008,1.469953297,35.11573982,30.1581887,24.54262253,21.61087741,95.56566335,452.8293445,3.066321272,11.58794873,3.550853467,4.424563035,1.659323492,4.392192124,98.2733709,77.93961138,1.849174692,11.37608987,0.85,NaN
Strawberry,2018,JAG-18-34,S-18-34,Authentic SLO,Slovenia,0.996786216,-25.66829719,3.916371829,4.991763453,6.558354738,1.067814826,79.10602032,1.616441022,0.546591292,10.64394757,1.844410634,28.38743744,11.48337141,14.68179044,15.78474112,121.6365466,NaN,2.649421432,5.383687654,14.89784815,23.29984387,3.777331832,7.927718494,546.1694672,6.835693007,10.88683059,2.761060031,NaN,25.6
Strawberry,2018,JAG-18-35,S-18-35,Authentic SLO,Slovenia,-0.716688784,-25.66108096,3.51213494,3.743513326,6.012278227,1.311424058,61.64594266,1.63084186,0.58518826,11.67477138,1.924051711,16.32613414,NaN,15.83493728,15.05792408,39.19126727,111.9559368,3.069043177,5.015781246,12.52185791,7.573857132,1.953415307,9.402023206,135.4886979,13.13749705,10.78815239,10.03728293,NaN,NaN
Strawberry,2018,JAG-18-36,S-18-36,Authentic SLO,Slovenia,-0.532596055,-25.00788378,4.93226089,5.487136358,3.636814787,1.598560408,29.00210696,1.526321635,0.560182587,13.9475754,1.403378881,8.694459294,NaN,16.69649805,19.07982093,42.97498645,NaN,3.195155103,6.679180996,13.21485501,NaN,3.233963457,3.260333883,253.2976915,7.015505259,3.13579831,5.379774633,NaN,NaN
Strawberry,2018,JAG-18-37,S-18-37,Authentic SLO,Slovenia,-2.039253128,-26.64367107,3.030396955,1.046489757,16.37975686,1.767979499,25.24711553,2.196413789,0.789842549,16.04648551,2.107832579,6.515267255,NaN,26.1416659,24.02594236,73.87265597,201.4079121,3.206201097,8.889141004,10.26370785,NaN,6.567415845,4.977333589,74.6231317,90.27180181,4.988518331,7.694632257,2.12,NaN
Strawberry,2018,JAG-18-38,S-18-38,Authentic SLO,Slovenia,-0.756872374,-27.14959609,2.484478135,3.204637746,7.562042111,1.099331017,30.25785427,1.612748613,0.511580587,10.06017544,1.426210948,8.804449357,NaN,20.59974439,17.56663873,35.45894575,1072.679492,3.834080348,7.360119496,4.029787478,7.7327532,3.773244159,5.066516804,63.95394575,171.6996024,7.485698022,12.19295055,0.4,NaN
Strawberry,2018,JAG-18-39,S-18-39,Authentic SLO,Slovenia,-2.699200676,-27.29045975,5.247552441,3.551420885,13.68792567,1.465567565,22.90262289,2.010069134,0.760743905,12.07910244,1.415614467,3.839918203,NaN,16.57817581,19.8884414,37.67459819,756.3592275,4.126555852,6.888832517,5.757174088,15.46902474,4.037602584,4.038533587,271.633792,13.64974847,15.93401269,5.292893627,NaN,NaN
Strawberry,2018,JAG-18-40,S-18-40,Authentic SLO,Slovenia,0.564799562,-26.39001783,5.322656122,5.372402033,2.95112569,1.395332972,21.5366635,1.70841574,0.523183486,12.24052824,1.753131755,5.865487618,NaN,16.90781157,14.5663586,116.6342208,NaN,3.455393007,4.846343402,3.331912142,7.712387106,2.295197792,1.661389842,342.0256875,13.16569923,2.265431985,3.675041889,NaN,NaN
Strawberry,2018,JAG-18-41,S-18-41,Authentic SLO,Slovenia,-0.162675865,-25.77206818,4.110303995,2.711878332,7.564838615,1.590516057,47.8793497,2.133125098,0.66875797,15.12125287,1.825220079,13.99803823,17.93503485,25.87377554,16.88924832,63.22497461,141.6836139,2.715898557,5.886360963,NaN,NaN,1.863554221,3.3382741,88.78744084,96.65288239,1.982277426,8.347238752,NaN,20.2
Strawberry,2019,JAG-19-13,S-19-13,Authentic SLO,Slovenia,-4.236083937,-27.85916542,2.24562679,1.702462396,9.87,0.883,9.55,1.19,0.543,9.57,1.14,23,55,14,14.1,31.3,225,4.8,6.19,NaN,NaN,1.93,4.84,76.9,14.8,2.28,7.93,0.415,NaN
Strawberry,2019,JAG-19-14,S-19-14,Authentic SLO,Slovenia,-5.085439943,-27.93532085,2.553908134,1.431389381,39.4,0.833,8.53,1.54,0.645,11.1,0.924,NaN,27.1,17.7,9.05,62.3,147,4.13,4.65,NaN,NaN,0.825,1.87,265,1.24,1.16,2.79,NaN,NaN
Strawberry,2019,JAG-19-16,S-19-16,Authentic SLO,Slovenia,-0.479955662,-27.68386021,0.378557117,2.156851442,15.5,0.851,10,1.57,0.725,9.59,1.24,NaN,NaN,17.4,14.2,96.8,107,5.58,6.34,NaN,20,1.27,2.57,574,NaN,2.58,2.62,NaN,48.3
Strawberry,2019,JAG-19-20,S-19-20,Authentic SLO,Slovenia,-2.058624689,-27.59955992,1.245471788,3.215394801,33.5,1.15,18.7,1.82,0.697,15,1.45,31.6,56.3,9.74,22.4,19.9,95.1,2.73,3.88,NaN,2.5,5.08,2.03,334,3.04,2.74,3.63,0.614,NaN
Strawberry,2019,JAG-19-21,S-19-21,Authentic SLO,Slovenia,-2.510382653,-26.99929547,4.805782079,3.974577668,14.8,0.948,NaN,1.61,0.67,10.5,1.1,3.39,21.9,12.5,14.9,43.2,100,3.71,6.57,NaN,9.29,1.31,1.66,271,3.97,NaN,3.38,7.61,NaN
Strawberry,2019,JAG-19-22,S-19-22,Authentic SLO,Slovenia,-1.619822973,-26.27399129,5.015205215,4.029583527,4.8,0.599,4.44,0.842,0.417,7.07,0.826,8.27,10.5,8.77,12.2,24.2,129,1.53,2.98,NaN,5.25,1.24,1.76,113,3.83,NaN,2.38,NaN,NaN
