Sample type,Harvest year,Lab code,Short code,Origin,Country,18O,13C,15N,34S,Na,Mg,Al,P,S,K,Ca,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Mo,Cd,Cs,Ba,Hg,Pb
Strawberry,2018,JAG-18-35,S-18-35,Authentic SLO,Slovenia,-0.716688784417124,-25.6610809571907,3.51213494027412,3.74351332634834,6.01,1.31,61.65,1.63,0.59,11.67,1.92,16.33,4.00,15.83,15.06,39.19,111.96,3.07,5.02,12.52,7.57,1.95,9.40,135.49,13.14,10.79,10.04,0.08,12.3
Strawberry,2018,JAG-18-36,S-18-36,Authentic SLO,Slovenia,-0.532596055467949,-25.0078837784597,4.93226088978224,5.48713635775507,3.64,1.60,29.00,1.53,0.56,13.95,1.40,8.69,4.00,16.70,19.08,42.97,27.18,3.20,6.68,13.21,1.79,3.23,3.26,253.30,7.02,3.14,5.38,0.09,7.5
Strawberry,2018,JAG-18-37,S-18-37,Authentic SLO,Slovenia,-2.03925312785671,-26.6436710666437,3.03039695471987,1.04648975721721,16.38,1.77,25.25,2.20,0.79,16.05,2.11,6.52,4.00,26.14,24.03,73.87,201.41,3.21,8.89,10.26,1.25,6.57,4.98,74.62,90.27,4.99,7.69,2.12,4.01
Strawberry,2018,JAG-18-38,S-18-38,Authentic SLO,Slovenia,-0.756872373945903,-27.149596088135,2.48447813530255,3.20463774572464,7.56,1.10,30.26,1.61,0.51,10.06,1.43,8.80,4.00,20.60,17.57,35.46,1072.68,3.83,7.36,4.03,7.73,3.77,5.07,63.95,171.70,7.49,12.19,0.4,2.07
Strawberry,2018,JAG-18-39,S-18-39,Authentic SLO,Slovenia,-2.69920067632892,-27.2904597525081,5.24755244052647,3.55142088470348,13.69,1.47,22.90,2.01,0.76,12.08,1.42,3.84,4.00,16.58,19.89,37.67,756.36,4.13,6.89,5.76,15.47,4.04,4.04,271.63,13.65,15.93,5.29,0.2,7.5
Strawberry,2018,JAG-18-40,S-18-40,Authentic SLO,Slovenia,0.564799561940586,-26.390017829646,5.32265612232972,5.37240203274222,2.95,1.40,21.54,1.71,0.52,12.24,1.75,5.87,4.00,16.91,14.57,116.63,20.00,3.46,4.85,3.33,7.71,2.30,1.66,342.03,13.17,2.27,3.68,0.04,0.14
Strawberry,2018,JAG-18-41,S-18-41,Authentic SLO,Slovenia,-0.162675865197732,-25.77206817618,4.1103039953783,2.71187833212073,7.56,1.59,47.88,2.13,0.67,15.12,1.83,14.00,17.94,25.87,16.89,63.22,141.68,2.72,5.89,2.79,1.42,1.86,3.34,88.79,96.65,1.98,8.35,0.28,20.2
Strawberry,2019,JAG-19-13,S-19-13,Authentic SLO,Slovenia,-4.24,-27.86,2.25,1.70,9.87,0.883,9.55,1.19,0.543,9.57,1.14,23,55,14,14.1,31.3,225,4.8,6.19,2.5,2.03,1.93,4.84,76.9,14.8,2.28,7.93,0.415,6.75
Strawberry,2019,JAG-19-14,S-19-14,Authentic SLO,Slovenia,-5.09,-27.94,2.55,1.43,39.4,0.833,8.53,1.54,0.645,11.1,0.924,1.35,27.1,17.7,9.05,62.3,147,4.13,4.65,1.13,1.76,0.825,1.87,265,1.24,1.16,2.79,0.3,1
Strawberry,2019,JAG-19-16,S-19-16,Authentic SLO,Slovenia,-0.48,-27.68,0.38,2.16,15.5,0.851,10,1.57,0.725,9.59,1.24,1.5,4.92,17.4,14.2,96.8,107,5.58,6.34,2.5,20,1.27,2.57,574,0.812,2.58,2.62,0.365,48.3
Strawberry,2019,JAG-19-20,S-19-20,Authentic SLO,Slovenia,-2.06,-27.60,1.25,3.22,33.5,1.15,18.7,1.82,0.697,15,1.45,31.6,56.3,9.74,22.4,19.9,95.1,2.73,3.88,2.5,2.5,5.08,2.03,334,3.04,2.74,3.63,0.614,7.5
Strawberry,2019,JAG-19-21,S-19-21,Authentic SLO,Slovenia,-2.51,-27.00,4.81,3.97,14.8,0.948,1.5,1.61,0.67,10.5,1.1,3.39,21.9,12.5,14.9,43.2,100,3.71,6.57,2.5,9.29,1.31,1.66,271,3.97,0.25,3.38,7.61,7.5
Strawberry,2019,JAG-19-22,S-19-22,Authentic SLO,Slovenia,-1.62,-26.27,5.02,4.03,4.8,0.599,4.44,0.842,0.417,7.07,0.826,8.27,10.5,8.77,12.2,24.2,129,1.53,2.98,2.5,5.25,1.24,1.76,113,3.83,0.56,2.38,0.253,7.5
Strawberry,2019,JAG-19-26,S-19-26,Authentic SLO,Slovenia,-2.88,-27.01,2.81,3.94,8.1,0.989,85.7,1.76,0.633,10.7,1.18,46.5,96.9,32.4,30.9,32,451,3.46,6.3,27.2,5.89,1.76,2.58,57.7,21.5,7.61,2.68,0.756,57.3
Strawberry,2019,JAG-19-27,S-19-27,Authentic SLO,Slovenia,-4.58,-28.31,2.89,3.44,8.15,0.904,48.3,1.27,0.549,11.6,1.02,28.6,54.1,25.5,9.74,67.7,162,2,5.83,12.38,2.85,0.832,2.42,626,3.48,2.25,2.99,0.3,28.7
Strawberry,2019,JAG-19-32,S-19-32,Authentic SLO,Slovenia,-4.53,-26.02,4.61,4.16,19.1,0.957,107,1.36,0.677,13.1,1.29,72,103,12,21.2,71.5,93.8,1.43,3.2,38,8.81,0.986,3.29,506,2.51,5.24,5.12,0.476,82.6
Strawberry,2019,JAG-19-33,S-19-33,Authentic SLO,Slovenia,-2.84,-26.54,7.67,0.15,18,0.843,105,1.15,0.517,14.1,2.24,54.4,103,13.5,11.8,77.6,233,2.8,4.01,34,5.59,1.43,9.32,114,0.99,5.37,8.38,0.3,58.3
Strawberry,2019,JAG-19-34,S-19-34,Authentic SLO,Slovenia,-6.84,-28.14,-0.09,1.92,11.8,0.983,83.1,1.58,0.618,14.5,1.17,71.3,96,17.5,25.2,199,609,3.32,7.49,19.6,2.5,3.7,4.47,313,1.95,6.63,8.63,0.339,34.4
Strawberry,2019,JAG-19-36,S-19-36,Authentic SLO,Slovenia,-3.33,-27.00,5.96,2.29,19.8,0.769,43.6,1.74,0.588,8.34,1.4,33.8,66.3,13.3,23.9,44.6,617,3.8,8,5.47,9.5,2.58,5.29,113,8.13,15.7,3.68,0.245,39.2
Strawberry,2019,JAG-19-38,S-19-38,Authentic SLO,Slovenia,-5.58,-26.62,2.75,4.23,8.66,0.829,9.69,1.56,0.556,16,0.758,1.5,5,20.5,14.5,40.2,479,3.53,12,6.72,5.01,4.13,2.43,156,139,2.63,5.2,2.43,14
Strawberry,2019,JAG-19-39,S-19-39,Authentic SLO,Slovenia,-3.86,-26.96,1.33,1.55,10.7,0.779,2.72,1.42,0.752,10.8,0.797,1.5,5,16.2,13.5,40.6,147,4.21,5.88,5.11,2.73,4.17,1.39,570,4.72,11.1,3.35,1.85,16.8
Strawberry,2019,JAG-19-41,S-19-41,Authentic SLO,Slovenia,-1.13,-27.42,4.62,4.90,40.4,0.968,5.55,1.55,0.582,12.2,1.12,1.5,5,14.4,12.3,25,47.2,2.75,5.46,7.89,18.3,6.48,3.89,938,0.669,5.48,2.65,1.05,4.38
Strawberry,2019,JAG-19-42,S-19-42,Authentic SLO,Slovenia,-2.57,-28.09,4.55,3.62,11.6,1.16,7.96,2.06,0.675,12.8,1.42,12.3,57.5,25.6,19.3,31.9,65,4.38,22.3,4.3,5.6,3.02,1.67,359,3.46,2.91,4.04,1.11,2.12
Strawberry,2019,JAG-19-43,S-19-43,Authentic SLO,Slovenia,-4.15,-27.84,1.22,1.84,9.23,0.878,0.949,1.79,0.496,14.5,0.864,0.375,5.34,17.9,15.2,22.8,45.3,1.44,3.93,2.49,2.5,2.09,1.82,373,16.6,1.2,2.59,1.13,5.11
Strawberry,2019,JAG-19-44,S-19-44,Authentic SLO,Slovenia,-3.61,-27.65,3.95,2.31,8.2,1.24,13.9,2.12,0.473,13.4,1.4,21.8,39.1,15,14.1,32.6,79.5,2.64,7.19,11.9,2.5,3.88,2.52,1450,3.23,3.66,4.13,2.26,38.6
Strawberry,2019,JAG-19-45,S-19-45,Authentic SLO,Slovenia,-0.58,-26.76,3.43,2.44,0.231,0.821,1.5,1.61,0.665,9.71,1.28,13.4,30.5,19.2,14.1,55.3,142,3.86,6.66,2.5,13.6,6.41,1.89,162,2.68,5.24,3.45,1.18,4.09
Strawberry,2019,JAG-19-46,S-19-46,Authentic SLO,Slovenia,-1.90,-27.82,2.82,3.59,9.83,0.923,0.921,1.86,0.638,12.2,1.38,18.3,42.8,24.9,19.7,67.1,511,4.15,7.36,5.4,2.5,3.43,3,114,28.1,2.75,7.26,1.51,3.52
Strawberry,2019,JAG-19-47,S-19-47,Authentic SLO,Slovenia,-0.60,-27.07,9.22,3.09,7.77,1.18,11.6,1.73,0.439,12.4,1.37,33.4,48.6,14.5,11,123,226,2.03,7.71,10.4,1.91,1.56,3.04,506,35,1.81,2.89,1.41,7.71
Strawberry,2019,JAG-19-48,S-19-48,Authentic SLO,Slovenia,-0.38,-27.05,4.67,2.27,15.3,0.82,3.43,1.36,0.536,11.9,0.947,1.5,5.19,12.7,18.7,29.6,210,2.93,5.18,3.02,3.39,1.26,2.13,149,3.15,1.28,5.25,0.829,7.5
Strawberry,2019,JAG-19-49,S-19-49,Authentic SLO,Slovenia,-1.52,-26.90,1.78,2.71,17.5,1.05,16.3,1.78,0.696,13.6,0.641,12.4,43.3,53.6,20.3,51.1,694,5.71,10.5,2.73,6.41,3.03,1.03,169,48.8,3.56,3.25,0.783,11.8
Strawberry,2019,JAG-19-50,S-19-50,Authentic SLO,Slovenia,1.45,-26.94,2.77,2.64,4.95,1.03,15.9,1.79,0.676,12,1.05,22.6,28.7,20,22.3,72.5,101,27.8,23.2,6.78,5.54,8.17,1.19,570,1.93,6,2.61,1.31,7.5
Strawberry,2019,JAG-19-51,S-19-51,Authentic SLO,Slovenia,-0.22,-27.36,7.43,2.65,14.6,1.22,2.68,2.23,0.773,17,1.26,12.8,33.4,48.6,21.6,45.2,1225,6.15,11.6,5.97,9.27,4.63,4.31,96.8,54.6,1.23,9.76,0.614,0.321
Strawberry,2019,JAG-19-57,S-19-57,Authentic SLO,Slovenia,1.26,-26.39,3.39,4.71,14.8,1.24,104,2.25,0.564,12.5,2.04,192,167,31.3,67,165,333,4.52,10.7,33.8,15.8,4.3,5.02,442,12.8,10.36,8.34,1.51,77
Strawberry,2020,JAG-20-03,S-20-03,Authentic SLO,Slovenia,3.64,-26.94,-2.00,-0.02,6.748,0.811,0.658,1.235,0.595,12.087,1.828,15.420,10.843,22.928,13.128,159.666,301.949,4.243,7.100,1.386,1.500,1.157,4.114,197.785,1.169,4.723,7.575,0.117,2.621
Strawberry,2020,JAG-20-05,S-20-05,Authentic SLO,Slovenia,-2.18,-27.51,8.27,2.38,8.054,0.993,3.264,2.218,0.742,13.716,2.893,16.607,15.225,25.948,23.427,27.490,1234.933,6.073,11.181,2.467,3.286,3.806,8.886,117.107,20.912,9.101,10.373,0.479,7.849
Strawberry,2020,JAG-20-06,S-20-06,Authentic SLO,Slovenia,-1.11,-28.16,-0.14,-1.87,13.204,0.810,0.663,1.434,0.629,10.226,1.861,16.185,15.755,22.055,13.142,62.034,203.890,3.534,6.821,6.798,6.079,0.902,2.963,492.060,2.705,4.053,2.811,0.455,45.969
